Date,Start/stop time,Genotype,Noni,ACV,Un-trapped,Dead,Total,death rate,Percent un-trapped,indecision,PI,Notes,Order,N
6/12/24,2:00 PM,Praislin 7611,7,11,2,5,25,20.00%,0.08,0.08,-0.16,,C,
6/14/24,2:00 PM,Praislin 7611,12,3,2,6,23,26.09%,0.09,0.086956522,,,C,
6/14/24,2:00 PM,Praislin 7611,14,3,3,5,25,20.00%,0.12,0.12,0.44,,C,
6/18/24,2:00 PM,Praislin 7611,17,4,2,2,25,8.00%,0.08,0.08,0.52,,C,
6/18/24,2:00 PM,Praislin 7611,15,4,4,1,24,4.17%,0.17,0.166666667,0.458333333,,C,
6/19/24,2:00 PM,Praislin 7611,21,3,0,0,24,0.00%,0.00,0,0.75,,C,
3/22/24,2:30 PM,Praislin 7621,8,7,3,1,18,5.26%,0.16,0.166666667,0.055555556,No Triton-X,D,29
3/27/24,2:00 PM,Praislin 7621,22,1,0,0,23,0.00%,0.00,0,0.913043478,,D,
4/3/24,11:30 AM,Praislin 7621,15,6,0,0,21,0.00%,0.00,0,0.428571429,,D,
4/3/24,11:30 AM,Praislin 7621,12,11,0,2,25,8.00%,0.00,0,0.04,,D,
4/3/24,11:30 AM,Praislin 7621,17,3,0,0,20,0.00%,0.00,0,0.7,,D,
4/10/24,1:00 PM,Praislin 7621,19,3,0,4,26,15.38%,0.00,0,0.615384615,,D,
4/11/24,1:00 PM,Praislin 7621,16,2,0,0,18,0.00%,0.00,0,0.777777778,,D,
4/19/24,2:00 PM,Praislin 7621,11,3,1,1,16,6.25%,0.06,0.0625,0.5,,D,
4/26/24,11:30 AM,Praislin 7621,17,7,0,0,24,0.00%,0.00,0,0.416666667,,D,
5/14/24,2:00 PM,Praislin 7621,16,8,0,0,24,0.00%,0.00,0,0.333333333,,D,
5/16/24,2:00 PM,Praislin 7621,9,3,1,10,23,43.48%,0.04,0.043478261,,,D,
5/16/24,2:00 PM,Praislin 7621,21,3,0,1,25,4.00%,0.00,0,0.72,,D,
5/17/24,2:00 PM,Praislin 7621,16,8,0,0,24,0.00%,0.00,0,0.333333333,,D,
5/22/24,12:00 PM,Praislin 7621,19,2,0,3,24,12.50%,0.00,0,0.708333333,,D,
5/22/24,12:00 PM,Praislin 7621,18,6,0,1,25,4.00%,0.00,0,0.48,,D,
5/22/24,12:00 PM,Praislin 7621,19,2,0,2,23,8.70%,0.00,0,0.739130435,,D,
5/23/24,12:00 PM,Praislin 7621,16,6,0,1,23,4.35%,0.00,0,0.434782609,,D,
5/28/24,3:00 PM,Praislin 7621,16,8,0,0,24,0.00%,0.00,0,0.333333333,,D,
5/28/24,3:00 PM,Praislin 7621,17,7,0,1,25,4.00%,0.00,0,0.4,,D,
5/29/24,2:00 PM,Praislin 7621,12,10,0,3,25,12.00%,0.00,0,0.08,,D,
5/31/24,3:00 PM,Praislin 7621,8,13,0,3,24,12.50%,0.00,0,-0.208333333,,D,
5/31/24,3:00 PM,Praislin 7621,14,2,0,7,23,30.43%,0.00,0,,,D,
6/4/24,2:00 PM,Praislin 7621,12,7,0,6,25,24.00%,0.00,0,0.2,,D,
6/7/24,2:00 PM,Praislin 7621,18,6,0,0,24,0.00%,0.00,0,0.5,,D,
6/7/24,2:00 PM,Praislin 7621,15,1,2,4,22,18.18%,0.09,0.090909091,0.636363636,,D,
6/12/24,2:00 PM,Praislin 7621,7,13,0,3,23,13.04%,0.00,0,-0.260869565,,D,
6/12/24,2:00 PM,Praislin 7621,12,5,0,8,25,32.00%,0.00,0,,,D,
6/14/24,2:00 PM,Praislin 7621,20,2,1,0,23,0.00%,0.04,0.043478261,0.782608696,,D,
6/14/24,2:00 PM,Praislin 7621,18,3,2,0,23,0.00%,0.09,0.086956522,0.652173913,,D,
6/18/24,2:00 PM,Praislin 7621,6,2,6,9,23,39.13%,0.26,0.260869565,,,D,
6/18/24,2:00 PM,Praislin 7621,17,1,4,2,24,8.33%,0.17,0.166666667,0.666666667,,D,
6/19/24,2:00 PM,Praislin 7621,21,2,0,2,25,8.00%,0.00,0,0.76,,D,
6/21/24,11:00 AM,Praislin 7621,15,9,0,1,25,4.00%,0.00,0,0.24,,D,
