file,start_datetime,stop_datetime,replicate,sex,species,strain,region_id,status
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,6,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,7,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,8,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,9,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,10,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,11,DEAD  
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,12,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,13,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,14,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13112,15,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13112,16,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13112,17,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13112,18,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13112,19,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Aride3312,21,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Aride3312,22,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Aride3312,23,OK  
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Aride3312,24,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7621,25,OK
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7621,26,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7621,27,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7621,28,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,1,OK
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,2,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,3,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,4,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,5,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,6,DEAD 
Monitor2-8.txt,2024-03-22 09:00:00,2024-03-26 08:59:00,2,M,Dsec,Praislin7611,7,DEAD 
